建築名稱,英文名稱,高度(m),樓層,東西寬(m),南北長(m),投影面積(m²),估算總樓地板面積(m²),結構類型,OSM建築類型,NLSC高度,NLSC建物ID,OSM ID
原子爐,Nuclear Reactor Building,21.93,,58.0,58.4,2130.9,,鋼筋混凝土(RC),permanent,21.93,2C1JX72K4L,180607983
,,21.88,,24.3,26.7,283.8,,鋼筋混凝土(RC),yes,21.88,2CBJN72NBR,1070588295
光環科技,,21.77,,85.3,83.2,5388.0,,鋼筋混凝土(RC),industrial,21.77,2CBJB72EG4,217672522
研一舍,,21.57,4,59.1,44.9,1241.4,4966.0,鋼筋混凝土(RC),dormitory,21.57,2C6UX72JWU,158364463
工程二館,Engineering Building 2,21.55,4,71.8,41.8,1591.2,6365.0,鋼筋混凝土(RC),university,21.55,2C74172HPU,441724030
服務大樓,,21.52,4,21.5,23.1,477.3,1909.0,鋼筋混凝土(RC),industrial,21.52,2C70772BVP,217686008
國家實驗研究院儀器科技研究中心,,21.36,,70.1,117.9,6159.4,,鋼筋混凝土(RC),industrial,21.36,2C6ED72B6X,217677906
,,21.35,2,23.2,10.0,133.5,267.0,鋼筋混凝土(RC),bridge,21.35,2C23X729EM,970836787
NOVA,,21.25,,57.4,84.6,2318.7,,鋼筋混凝土(RC),yes,21.25,2C9VW72Q4V,225951775
學生十舍,Student Dormitory 10,21.21,5,66.9,33.8,1027.6,5138.0,鋼筋混凝土(RC),dormitory,21.21,2C6C272K7R,158364466
儀光大樓,Instrumentation Building,20.98,,44.0,73.3,2379.5,,鋼筋混凝土(RC),industrial,20.98,2C22C729FJ,217711035
,,20.92,,14.0,16.7,222.8,,鋼筋混凝土(RC),yes,20.92,2C6D472K2J,1214771790
活動中心（第二招待所）,Activity Center / Guesthouse 2,20.78,4,88.2,71.9,2948.8,11795.0,鋼筋混凝土(RC),hotel,20.78,2C4B372ABT,265742476
,,20.78,,12.9,40.6,337.3,,鋼筋混凝土(RC),yes,20.78,2C9GA72LWN,1119820874
文齋,Dormitory Wen,20.77,,18.1,52.7,851.7,,鋼筋混凝土(RC),dormitory,20.77,2C0DU72M38,180546700
固態電子系統大樓,Solid-State Electronics Building,20.74,3,100.7,82.7,4804.6,14414.0,鋼筋混凝土(RC),university,20.74,2C9UT72EP2,203126676
碩齋,Dormitory Shuo,20.41,,84.4,47.5,1106.4,,鋼筋混凝土(RC),dormitory,20.41,2C6LU72L6L,158364448
九期己棟,,20.24,,72.8,46.9,1722.9,,鋼筋混凝土(RC),industrial,20.24,2C97572B96,217677914
,,20.1,,26.6,29.7,329.1,,鋼筋混凝土(RC),yes,20.10,2C99372LP0,375212712
,,20.04,,50.5,39.1,1315.1,,鋼筋混凝土(RC),yes,20.04,2CB7G72PU2,286896820
信齋B,Dormitory Shinn B,19.97,,30.9,16.5,474.3,,鋼筋混凝土(RC),dormitory,19.97,2C51072L51,180546701
信齋A,Dormitory Shinn A,19.93,,26.9,14.4,368.0,,鋼筋混凝土(RC),dormitory,19.93,2C57H72LAV,180546704
信齋C,Dormitory Shinn C,19.91,,29.7,13.5,350.0,,鋼筋混凝土(RC),dormitory,19.91,2C4NX72KXF,180546706
順發3C,SUNFAR,19.8,,57.0,60.9,1540.7,,鋼筋混凝土(RC),yes,19.80,2CA6V72PG5,437245309
科學一館,Science Building 1,19.43,3,108.7,47.8,3343.2,10030.0,鋼筋混凝土(RC),university,19.43,2C5PR72H30,134752398
第四宿舍,,19.39,,36.2,46.1,644.0,,鋼筋混凝土(RC),dormitory,19.39,2CBPL72KRK,537349639
台灣中油桃竹苗營業處,,19.27,,36.4,35.3,612.3,,鋼筋混凝土(RC),commercial,19.27,2CDE672KMS,256046514
綜合球館,Composite Sports Building,19.11,3,52.5,41.0,2046.1,6138.0,鋼筋混凝土(RC),permanent,19.11,2C4HQ72JXU,134752167
禮齋,Dormitory Li,18.9,,54.1,27.0,767.1,,鋼筋混凝土(RC),dormitory,18.90,2C51L72L5X,180546698
竹軒宿舍,Chu-Hsuan Female Dormitory 1,18.59,3,67.7,59.5,1446.1,4338.0,鋼筋混凝土(RC),dormitory,18.59,2C7JA72JD1,134752333
光華開發,,18.59,,59.2,76.8,3667.8,,鋼筋混凝土(RC),industrial,18.59,2CC4E72CCJ,217677911
羅技,Logitech,18.43,,88.6,61.1,4506.9,,鋼筋混凝土(RC),industrial,18.43,2C0CT729KW,187807225
管理一館,,18.38,3,66.8,34.9,1708.0,5124.0,鋼筋混凝土(RC),university,18.38,2C9VE72GG0,134752746
,,18.34,,31.5,28.3,365.7,,鋼筋混凝土(RC),parking,18.34,2CAKA72PJR,779854521
科儀中心,Scientific Instrument Center,18.03,,58.9,53.8,1754.1,,鋼筋混凝土(RC),university,18.03,2C5TG72PSV,180370150
國家度量衡標準實驗室,,17.99,,78.5,63.0,1889.8,,鋼筋混凝土(RC),office,17.99,2CB7J72JJT,138080033
,,17.9,,56.7,17.4,112.3,,金屬/混合,yes,17.90,2C3WX72LWJ,1072287864
第一招待所,Guesthouse 1,17.89,4,37.8,36.0,544.7,2179.0,鋼筋混凝土(RC),hotel,17.89,2C2HQ72CPA,265742705
交誼廳與自習室,Common Room & Self-Study Room,17.82,1,14.6,24.9,245.0,245.0,鋼筋混凝土(RC),dormitory,17.82,2C64V72JUQ,158364453
,,17.74,,23.7,22.9,252.8,,鋼筋混凝土(RC),residential,17.74,2C85F72JAQ,286652653
,,17.62,,25.8,12.3,243.8,,鋼筋混凝土(RC),yes,17.62,2C8P272PAW,1120544151
利翔航太電子,,17.57,2,67.3,67.3,2551.0,5102.0,鋼筋混凝土(RC),industrial,17.57,2CBM3728EE,217711041
學生八舍,Student Dormitory 8,17.55,4,81.9,38.3,1269.6,5078.0,鋼筋混凝土(RC),dormitory,17.55,2C92C72DVL,135405221
研光大樓,Research Building,17.26,,98.7,93.8,3384.9,,鋼筋混凝土(RC),industrial,17.26,2C2NP72B49,188022070
九期庚棟,,17.21,,47.0,66.2,2009.7,,鋼筋混凝土(RC),industrial,17.21,2C8L872B8V,217677913
人社二舘,HA Building 2,17.2,4,63.4,49.7,1849.9,7400.0,鋼筋混凝土(RC),university,17.20,2C9J372G45,134993779
九期戊棟,,16.94,,47.0,48.7,1608.1,,鋼筋混凝土(RC),industrial,16.94,2CA4G72B23,217677910
義齋,Dormitory Yi,16.9,,52.1,22.6,711.7,,鋼筋混凝土(RC),dormitory,16.90,2C3EX72L81,180522525
資訊技術服務中心,Information Technology Service Center,16.46,3,74.7,55.9,2786.4,8359.0,鋼筋混凝土(RC),university,16.46,2C7B172GLT,135632206
矽品精密新竹分公司一廠,,16.28,,112.3,61.5,5460.5,,鋼筋混凝土(RC),industrial,16.28,2C07F729PX,187807199
同位素館,Radioisotope Laboratory,16.07,,56.1,50.7,2036.7,,金屬/混合,university,16.07,2C1DR72JGT,180607995
,,15.96,,18.4,10.6,39.9,,鋼筋混凝土(RC),yes,15.96,2C3HV72M3G,1072287863
大禮堂,Auditorium,15.7,,72.9,71.2,2177.9,,鋼筋混凝土(RC),university,15.70,2C36E72NK6,254990721
